"","gene","model","correlation","pval","r2","lambda","fdr","Measure","Organ"
"1441","UMODL1","no.lambda",-0.385767599392914,0.521295472506007,0.148816639060764,0,0.738313170340951,"RPKM","Heart"
"1481","ZC3HAV1L","no.lambda",-0.440666995277217,0.457653815844602,0.194187399772491,0,0.738313170340951,"RPKM","Heart"
"1061","PPP1R1A","free.lambda",0.368845963278902,0.544205244147725,0.886404918003372,0,0.758176075668048,"RPKM","Heart"
"1361","TMCC2","no.lambda",-0.363743889509105,0.54729266389283,0.132309612324396,0,0.758176075668048,"RPKM","Heart"
"1461","XDH","free.lambda",-0.338774660008278,0.553496367502461,0.995510962854941,1,0.759799559026105,"RPKM","Heart"
"1210","ASB15","free.lambda",-0.162756922044161,0.575417669424469,0.91374988759305,0,0.768996884166099,"RPKM","Heart"
"2613","CCDC88C","no.lambda",0.339957511714833,0.575640947077337,0.115571113642472,0,0.768996884166099,"RPKM","Heart"
"771","KLHL31","no.lambda",-0.337074266008738,0.579095273457349,0.113619063231716,0,0.768996884166099,"RPKM","Heart"
"1071","PRRG3","no.lambda",-0.335846666570237,0.580567184072419,0.11279297976494,0,0.768996884166099,"RPKM","Heart"
"1813","BMP7","fix.lambda",-0.308561578003762,0.6134536588501,0.421039760146086,0.792705024057769,0.799599729034192,"RPKM","Heart"
"1401","TNNT2","no.lambda",0.303526086334671,0.6195574059404,0.092128084396436,0,0.799599729034192,"RPKM","Heart"
"1501","ZNF23","no.lambda",0.30640794821739,0.616062910860805,0.093885825395316,0,0.799599729034192,"RPKM","Heart"
"1321","SYNPR","no.lambda",-0.273881990561003,0.655692668822988,0.0750113421774083,0,0.839064347392128,"RPKM","Heart"
"1171","SLC26A9","no.lambda",-0.261974990011791,0.67029874578257,0.0686308938393462,0,0.850547148009816,"RPKM","Heart"
"2813","CDK1","no.lambda",-0.253293258169932,0.680979480853876,0.0641574724812567,0,0.856899180074461,"RPKM","Heart"
"1141","SEMA3C","free.lambda",0.289543063853384,0.694944456375695,0.566773477685569,0,0.86724473481595,"RPKM","Heart"
"2113","CARTPT","no.lambda",-0.221118664478597,0.7207743250247,0.0488934617194576,0,0.892105926874833,"RPKM","Heart"
"2103","ACTN1","no.lambda",-0.195939211930066,0.752128097136007,0.0383921754897382,0,0.89857415484568,"RPKM","Heart"
"1410","BAG5","no.lambda",-0.196399843557731,0.751553005817958,0.0385728969121413,0,0.89857415484568,"RPKM","Heart"
"2413","CCDC77","no.lambda",0.193035666463296,0.755754421625174,0.0372627663287748,0,0.89857415484568,"RPKM","Heart"
"831","LRRC4","no.lambda",-0.206812503254697,0.738567490796681,0.0427714083486448,0,0.89857415484568,"RPKM","Heart"
"1161","SLC19A2","no.lambda",-0.202371485374382,0.744102353368826,0.0409542165596588,0,0.89857415484568,"RPKM","Heart"
