organ,measure,gene,model,correlation,pval,r2,lambda,fdr
testis,rpkm,OAF,no.lambda,-0.387262842,0.519539629,0.149972507,0,0.683307556
testis,rpkm,HSPA8,no.lambda,0.384348077,0.522963502,0.147723442,0,0.685787754
testis,rpkm,TXLNB,free.lambda,-0.719631059,0.523044733,0.871763083,1,0.685787754
testis,rpkm,BRCA1,no.lambda,0.380252079,0.527782523,0.144591645,0,0.688409376
testis,rpkm,GCAT,no.lambda,0.379224461,0.528992923,0.143811191,0,0.688409376
testis,rpkm,POLE4,no.lambda,-0.377747494,0.530733557,0.142693169,0,0.688409376
testis,rpkm,PRKAR2A,fix.lambda,-0.38222043,0.526758559,0.394265091,0.525856957,0.688409376
testis,rpkm,SRP14,no.lambda,-0.378898818,0.529376611,0.143564308,0,0.688409376
testis,rpkm,TFAP2E,no.lambda,-0.379870651,0.52823173,0.144301713,0,0.688409376
testis,rpkm,TTC39C,free.lambda,0.217254935,0.530354384,0.791882332,0,0.688409376
testis,rpkm,PPP2R2B,fix.lambda,0.638481045,0.533227873,0.499684204,0.999933893,0.690587169
testis,rpkm,SCFD1,no.lambda,0.374929668,0.534057556,0.140572257,0,0.690605725
testis,rpkm,ASB15,fix.lambda,0.529471573,0.536501481,0.674777262,0.999933893,0.692708468
testis,rpkm,HMGXB4,no.lambda,-0.370759328,0.538984521,0.13746248,0,0.694855234
testis,rpkm,UNG,no.lambda,0.367727496,0.542571977,0.13522351,0,0.69841712
testis,rpkm,PPIP5K2,fix.lambda,0.57314257,0.546553274,0.307830833,0.999933893,0.70247439
testis,rpkm,ATP7B,no.lambda,-0.361436819,0.550030204,0.130636578,0,0.703739551
testis,rpkm,PDE8A,free.lambda,0.66324357,0.549963015,0.92709975,1,0.703739551
testis,rpkm,SIPA1L3,no.lambda,0.36156839,0.549874008,0.130731707,0,0.703739551
testis,rpkm,RRS1,no.lambda,0.358670996,0.553315586,0.128644879,0,0.706875266
testis,rpkm,PIGL,no.lambda,0.357649742,0.554529621,0.127913336,0,0.707359321
testis,rpkm,AKT2,free.lambda,-0.687808597,0.555834388,0.946213938,1,0.707721099
testis,rpkm,HIF1A,no.lambda,-0.3560063,0.556484359,0.126740489,0,0.707721099
testis,rpkm,NKX6-1,no.lambda,-0.353940965,0.55894278,0.125274205,0,0.709781911
testis,rpkm,FRMD3,free.lambda,-0.374527489,0.560506522,0.892158744,1,0.710702131
testis,rpkm,SLC52A3,free.lambda,0.198963119,0.562698586,0.452152666,0,0.712415101
testis,rpkm,PPIL3,fix.lambda,0.211308056,0.566544165,0.602861088,0.999933893,0.716213296
